,,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
CALLS,0,AMC210709C00013000,2021-07-08 19:44:59,13.0,34.25,0.0,0.0,0.0,0.0,291,153,1.0000000000000003e-05,True,REGULAR,USD
CALLS,1,AMC210709C00013500,2021-07-08 19:41:55,13.5,34.0,0.0,0.0,0.0,0.0,236,122,1.0000000000000003e-05,True,REGULAR,USD
CALLS,2,AMC210709C00014000,2021-07-08 17:43:13,14.0,31.25,0.0,0.0,0.0,0.0,135,42,1.0000000000000003e-05,True,REGULAR,USD
CALLS,3,AMC210709C00014500,2021-07-08 18:50:07,14.5,30.7,0.0,0.0,0.0,0.0,77,77,1.0000000000000003e-05,True,REGULAR,USD
CALLS,4,AMC210709C00015000,2021-07-08 19:53:19,15.0,32.78,0.0,0.0,0.0,0.0,129,225,1.0000000000000003e-05,True,REGULAR,USD
CALLS,5,AMC210709C00015500,2021-07-08 18:39:46,15.5,31.85,0.0,0.0,0.0,0.0,79,28,1.0000000000000003e-05,True,REGULAR,USD
CALLS,6,AMC210709C00016000,2021-07-08 19:46:23,16.0,31.5,0.0,0.0,0.0,0.0,88,7,1.0000000000000003e-05,True,REGULAR,USD
CALLS,7,AMC210709C00016500,2021-07-08 18:40:37,16.5,31.1,0.0,0.0,0.0,0.0,76,34,1.0000000000000003e-05,True,REGULAR,USD
CALLS,8,AMC210709C00017000,2021-07-08 19:40:36,17.0,30.05,0.0,0.0,0.0,0.0,105,3,1.0000000000000003e-05,True,REGULAR,USD
CALLS,9,AMC210709C00017500,2021-07-08 19:29:54,17.5,28.45,0.0,0.0,0.0,0.0,98,26,1.0000000000000003e-05,True,REGULAR,USD
CALLS,10,AMC210709C00018000,2021-07-08 19:01:50,18.0,30.0,0.0,0.0,0.0,0.0,89,14,1.0000000000000003e-05,True,REGULAR,USD
CALLS,11,AMC210709C00018500,2021-07-08 16:36:15,18.5,29.75,0.0,0.0,0.0,0.0,84,102,1.0000000000000003e-05,True,REGULAR,USD
CALLS,12,AMC210709C00019000,2021-07-08 19:05:43,19.0,28.9,0.0,0.0,0.0,0.0,167,33,1.0000000000000003e-05,True,REGULAR,USD
CALLS,13,AMC210709C00019500,2021-07-08 19:49:32,19.5,28.64,0.0,0.0,0.0,0.0,67,12,1.0000000000000003e-05,True,REGULAR,USD
CALLS,14,AMC210709C00020000,2021-07-08 19:21:55,20.0,27.97,0.0,0.0,0.0,0.0,228,247,1.0000000000000003e-05,True,REGULAR,USD
CALLS,15,AMC210709C00020500,2021-07-08 19:35:03,20.5,26.9,0.0,0.0,0.0,0.0,67,36,1.0000000000000003e-05,True,REGULAR,USD
CALLS,16,AMC210709C00021000,2021-07-08 19:35:03,21.0,25.25,0.0,0.0,0.0,0.0,66,24,1.0000000000000003e-05,True,REGULAR,USD
CALLS,17,AMC210709C00021500,2021-07-08 19:41:57,21.5,25.9,0.0,0.0,0.0,0.0,37,16,1.0000000000000003e-05,True,REGULAR,USD
CALLS,18,AMC210709C00022000,2021-07-08 19:47:10,22.0,25.9,0.0,0.0,0.0,0.0,147,50,1.0000000000000003e-05,True,REGULAR,USD
CALLS,19,AMC210709C00022500,2021-07-08 19:09:48,22.5,23.7,0.0,0.0,0.0,0.0,79,13,1.0000000000000003e-05,True,REGULAR,USD
CALLS,20,AMC210709C00023000,2021-07-08 19:46:49,23.0,24.95,0.0,0.0,0.0,0.0,138,89,1.0000000000000003e-05,True,REGULAR,USD
CALLS,21,AMC210709C00023500,2021-07-08 19:39:12,23.5,23.45,0.0,0.0,0.0,0.0,63,37,1.0000000000000003e-05,True,REGULAR,USD
CALLS,22,AMC210709C00024000,2021-07-08 16:36:25,24.0,21.75,0.0,0.0,0.0,0.0,101,11,1.0000000000000003e-05,True,REGULAR,USD
CALLS,23,AMC210709C00024500,2021-07-08 19:46:49,24.5,23.2,0.0,0.0,0.0,0.0,64,67,1.0000000000000003e-05,True,REGULAR,USD
CALLS,24,AMC210709C00025000,2021-07-08 19:47:14,25.0,22.9,0.0,0.0,0.0,0.0,228,384,1.0000000000000003e-05,True,REGULAR,USD
