,,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
CALLS,0,BB210618C00001000,2021-06-17 18:36:13,1.0,12.4,0.0,0.0,0.0,0.0,8,0,1.0000000000000003e-05,True,REGULAR,USD
CALLS,1,BB210618C00002000,2021-06-15 14:20:38,2.0,12.2,0.0,0.0,0.0,0.0,3,0,1.0000000000000003e-05,True,REGULAR,USD
CALLS,2,BB210618C00003000,2021-06-17 13:30:01,3.0,10.35,0.0,0.0,0.0,0.0,17,0,1.0000000000000003e-05,True,REGULAR,USD
CALLS,3,BB210618C00004000,2021-06-17 18:36:13,4.0,9.4,0.0,0.0,0.0,0.0,14,0,1.0000000000000003e-05,True,REGULAR,USD
CALLS,4,BB210618C00004500,2021-06-17 16:11:19,4.5,8.99,0.0,0.0,0.0,0.0,2,0,1.0000000000000003e-05,True,REGULAR,USD
CALLS,5,BB210618C00005000,2021-06-17 15:18:56,5.0,8.4,0.0,0.0,0.0,0.0,35,0,1.0000000000000003e-05,True,REGULAR,USD
CALLS,6,BB210618C00005500,2021-06-14 15:27:12,5.5,9.0,0.0,0.0,0.0,0.0,2,0,1.0000000000000003e-05,True,REGULAR,USD
CALLS,7,BB210618C00006000,2021-06-17 17:43:00,6.0,7.4,0.0,0.0,0.0,0.0,22,0,1.0000000000000003e-05,True,REGULAR,USD
CALLS,8,BB210618C00006500,2021-06-17 18:08:04,6.5,6.85,0.0,0.0,0.0,0.0,1,0,1.0000000000000003e-05,True,REGULAR,USD
CALLS,9,BB210618C00007000,2021-06-17 19:52:43,7.0,6.5,0.0,0.0,0.0,0.0,173,0,1.0000000000000003e-05,True,REGULAR,USD
CALLS,10,BB210618C00007500,2021-06-15 17:28:18,7.5,5.85,0.0,0.0,0.0,0.0,1,0,1.0000000000000003e-05,True,REGULAR,USD
CALLS,11,BB210618C00008000,2021-06-17 19:55:24,8.0,5.5,0.0,0.0,0.0,0.0,223,0,1.0000000000000003e-05,True,REGULAR,USD
CALLS,12,BB210618C00008500,2021-06-17 19:45:53,8.5,5.0,0.0,0.0,0.0,0.0,12,0,1.0000000000000003e-05,True,REGULAR,USD
CALLS,13,BB210618C00009000,2021-06-17 19:59:19,9.0,4.5,0.0,0.0,0.0,0.0,183,0,1.0000000000000003e-05,True,REGULAR,USD
CALLS,14,BB210618C00009500,2021-06-17 19:58:13,9.5,4.0,0.0,0.0,0.0,0.0,359,0,1.0000000000000003e-05,True,REGULAR,USD
CALLS,15,BB210618C00010000,2021-06-17 19:50:32,10.0,3.5,0.0,0.0,0.0,0.0,1564,0,1.0000000000000003e-05,True,REGULAR,USD
CALLS,16,BB210618C00010500,2021-06-17 19:59:12,10.5,3.0,0.0,0.0,0.0,0.0,126,0,1.0000000000000003e-05,True,REGULAR,USD
CALLS,17,BB210618C00011000,2021-06-17 19:59:56,11.0,2.5,0.0,0.0,0.0,0.0,628,0,1.0000000000000003e-05,True,REGULAR,USD
CALLS,18,BB210618C00011500,2021-06-17 19:50:59,11.5,2.02,0.0,0.0,0.0,0.0,355,0,1.0000000000000003e-05,True,REGULAR,USD
CALLS,19,BB210618C00012000,2021-06-17 19:58:51,12.0,1.53,0.0,0.0,0.0,0.0,3103,0,1.0000000000000003e-05,True,REGULAR,USD
CALLS,20,BB210618C00012500,2021-06-17 19:58:27,12.5,1.05,0.0,0.0,0.0,0.0,2220,0,1.0000000000000003e-05,True,REGULAR,USD
CALLS,21,BB210618C00013000,2021-06-17 19:59:29,13.0,0.62,0.0,0.0,0.0,0.0,13332,0,1.0000000000000003e-05,True,REGULAR,USD
CALLS,22,BB210618C00013500,2021-06-17 19:59:52,13.5,0.34,0.0,0.0,0.0,0.0,27292,0,1.0000000000000003e-05,True,REGULAR,USD
CALLS,23,BB210618C00014000,2021-06-17 19:59:57,14.0,0.18,0.0,0.0,0.0,0.0,51206,0,0.2500075,False,REGULAR,USD
CALLS,24,BB210618C00014500,2021-06-17 19:57:08,14.5,0.12,0.0,0.0,0.0,0.0,5269,0,0.500005,False,REGULAR,USD
CALLS,25,BB210618C00015000,2021-06-17 19:59:28,15.0,0.08,0.0,0.0,0.0,0.0,12648,0,0.500005,False,REGULAR,USD
CALLS,26,BB210618C00015500,2021-06-17 19:50:10,15.5,0.06,0.0,0.0,0.0,0.0,1651,0,0.500005,False,REGULAR,USD
CALLS,27,BB210618C00016000,2021-06-17 19:56:46,16.0,0.05,0.0,0.0,0.0,0.0,2652,0,0.500005,False,REGULAR,USD
CALLS,28,BB210618C00016500,2021-06-17 19:58:38,16.5,0.04,0.0,0.0,0.0,0.0,999,0,0.500005,False,REGULAR,USD
CALLS,29,BB210618C00017000,2021-06-17 19:55:41,17.0,0.04,0.0,0.0,0.0,0.0,1694,0,0.500005,False,REGULAR,USD
CALLS,30,BB210618C00017500,2021-06-17 19:58:17,17.5,0.03,0.0,0.0,0.0,0.0,709,0,0.500005,False,REGULAR,USD
CALLS,31,BB210618C00018000,2021-06-17 19:59:14,18.0,0.03,0.0,0.0,0.0,0.0,1396,0,0.500005,False,REGULAR,USD
CALLS,32,BB210618C00018500,2021-06-17 19:39:17,18.5,0.02,0.0,0.0,0.0,0.0,239,0,0.500005,False,REGULAR,USD
CALLS,33,BB210618C00019000,2021-06-17 19:46:41,19.0,0.03,0.0,0.0,0.0,0.0,2345,0,0.500005,False,REGULAR,USD
CALLS,34,BB210618C00019500,2021-06-17 19:55:55,19.5,0.03,0.0,0.0,0.0,0.0,124,0,0.500005,False,REGULAR,USD
CALLS,35,BB210618C00020000,2021-06-17 19:56:55,20.0,0.02,0.0,0.0,0.0,0.0,5516,0,0.500005,False,REGULAR,USD
CALLS,36,BB210618C00021000,2021-06-17 19:14:04,21.0,0.02,0.0,0.0,0.0,0.0,692,0,0.500005,False,REGULAR,USD
CALLS,37,BB210618C00022000,2021-06-17 18:46:05,22.0,0.01,0.0,0.0,0.0,0.0,180,0,0.500005,False,REGULAR,USD
CALLS,38,BB210618C00023000,2021-06-17 18:23:56,23.0,0.01,0.0,0.0,0.0,0.0,20,0,0.500005,False,REGULAR,USD
CALLS,39,BB210618C00024000,2021-06-17 17:37:08,24.0,0.02,0.0,0.0,0.0,0.0,270,0,0.500005,False,REGULAR,USD
CALLS,40,BB210618C00025000,2021-06-17 19:48:48,25.0,0.02,0.0,0.0,0.0,0.0,407,0,0.500005,False,REGULAR,USD
CALLS,41,BB210618C00026000,2021-06-17 19:38:26,26.0,0.01,0.0,0.0,0.0,0.0,86,0,0.500005,False,REGULAR,USD
CALLS,42,BB210618C00027000,2021-06-17 19:54:13,27.0,0.01,0.0,0.0,0.0,0.0,164,0,0.500005,False,REGULAR,USD
CALLS,43,BB210618C00028000,2021-06-17 19:50:52,28.0,0.01,0.0,0.0,0.0,0.0,244,0,0.500005,False,REGULAR,USD
CALLS,44,BB210618C00029000,2021-06-17 19:13:43,29.0,0.01,0.0,0.0,0.0,0.0,75,0,0.500005,False,REGULAR,USD
CALLS,45,BB210618C00030000,2021-06-17 19:56:24,30.0,0.01,0.0,0.0,0.0,0.0,1882,0,0.500005,False,REGULAR,USD
CALLS,46,BB210618C00031000,2021-06-17 16:47:32,31.0,0.01,0.0,0.0,0.0,0.0,37,0,0.500005,False,REGULAR,USD
CALLS,47,BB210618C00032000,2021-06-17 16:47:35,32.0,0.01,0.0,0.0,0.0,0.0,175,0,0.500005,False,REGULAR,USD
CALLS,48,BB210618C00033000,2021-06-17 14:36:04,33.0,0.01,0.0,0.0,0.0,0.0,28,0,0.500005,False,REGULAR,USD
CALLS,49,BB210618C00034000,2021-06-17 14:54:53,34.0,0.01,0.0,0.0,0.0,0.0,1463,0,0.500005,False,REGULAR,USD
CALLS,50,BB210618C00035000,2021-06-17 18:16:09,35.0,0.01,0.0,0.0,0.0,0.0,157,0,0.500005,False,REGULAR,USD
CALLS,51,BB210618C00036000,2021-06-15 16:37:50,36.0,0.01,0.0,0.0,0.0,0.0,2,0,0.500005,False,REGULAR,USD
CALLS,52,BB210618C00037000,2021-06-17 13:57:57,37.0,0.01,0.0,0.0,0.0,0.0,1,0,0.500005,False,REGULAR,USD
CALLS,53,BB210618C00038000,2021-06-17 17:17:23,38.0,0.01,0.0,0.0,0.0,0.0,48,0,0.500005,False,REGULAR,USD
CALLS,54,BB210618C00039000,2021-06-16 15:52:20,39.0,0.01,0.0,0.0,0.0,0.0,3,0,0.500005,False,REGULAR,USD
CALLS,55,BB210618C00040000,2021-06-17 19:30:16,40.0,0.01,0.0,0.0,0.0,0.0,271,0,0.500005,False,REGULAR,USD
CALLS,56,BB210618C00041000,2021-06-16 13:30:01,41.0,0.01,0.0,0.0,0.0,0.0,3,0,0.500005,False,REGULAR,USD
CALLS,57,BB210618C00042000,2021-06-16 18:11:48,42.0,0.01,0.0,0.0,0.0,0.0,1,0,0.500005,False,REGULAR,USD
