"","calls.Strike","calls.Last","calls.Chg","calls.Bid","calls.Ask","calls.Vol","calls.OI","calls.LastTradeTime","calls.IV","calls.ITM","puts.Strike","puts.Last","puts.Chg","puts.Bid","puts.Ask","puts.Vol","puts.OI","puts.LastTradeTime","puts.IV","puts.ITM"
"GME210326C00005000",5,178.96,0,0,0,31,61,2021-03-25 15:59:27,1e-05,TRUE,5,0.01,0,0,0,64,22014,2021-03-25 15:30:46,0.500005,FALSE
"GME210326C00010000",10,171.9,0,0,0,19,15,2021-03-25 15:07:06,1e-05,TRUE,10,0.01,0,0,0,459,8722,2021-03-25 13:16:27,0.500005,FALSE
"GME210326C00015000",15,164.45,0,0,0,14,12,2021-03-25 15:37:16,1e-05,TRUE,15,0.01,0,0,0,114,2403,2021-03-25 12:35:35,0.500005,FALSE
"GME210326C00020000",20,151.2,0,0,0,2,14,2021-03-25 14:49:47,1e-05,TRUE,20,0.02,0,0.01,0,276,5879,2021-03-25 15:00:58,13.000001875,FALSE
"GME210326C00025000",25,132.05,0,0,0,1,6,2021-03-24 14:50:46,1e-05,TRUE,25,0.01,0,0,0,351,6077,2021-03-25 15:20:05,0.500005,FALSE
"GME210326C00030000",30,149.1,0,0,0,4,49,2021-03-25 15:07:30,1e-05,TRUE,30,0.01,0,0,0,604,5560,2021-03-25 15:21:14,0.500005,FALSE
"GME210326C00035000",35,143.95,0,0,0,24,43,2021-03-25 15:07:30,1e-05,TRUE,35,0.01,0,0,0,548,2913,2021-03-25 15:43:12,0.500005,FALSE
"GME210326C00040000",40,137.27,0,0,0,39,86,2021-03-25 15:15:24,1e-05,TRUE,40,0.01,0,0,0,1330,5519,2021-03-25 15:55:43,0.500005,FALSE
"GME210326C00041000",41,129.15,0,0,0,11,61,2021-03-25 14:48:45,1e-05,TRUE,41,0.02,0,0,0,246,1256,2021-03-25 15:24:16,0.500005,FALSE
"GME210326C00041500",41.5,139.35,0,0,0,5,3,2021-03-23 15:00:12,1e-05,TRUE,41.5,0.01,0,0,0,70,373,2021-03-25 15:04:55,0.500005,FALSE
"GME210326C00042000",42,139.5,0,0,0,9,21,2021-03-25 15:18:38,1e-05,TRUE,42,0.02,0,0,0,274,620,2021-03-25 15:54:38,0.500005,FALSE
"GME210326C00042500",42.5,128.9,0,0,0,1,2,2021-03-24 12:22:36,1e-05,TRUE,42.5,0.01,0,0,0,20,258,2021-03-25 14:51:41,0.500005,FALSE
"GME210326C00043000",43,93.3,0,0,0,4,5,2021-03-24 13:28:53,1e-05,TRUE,43,0.01,0,0,0,159,534,2021-03-25 11:08:43,0.500005,FALSE
"GME210326C00043500",43.5,114.96,0,0,0,21,7,2021-03-25 11:34:31,1e-05,TRUE,43.5,0.01,0,0,0,74,253,2021-03-25 15:02:56,0.500005,FALSE
"GME210326C00044000",44,119.1,0,0,0,6,13,2021-03-25 10:39:02,1e-05,TRUE,44,0.02,0,0,0,94,238,2021-03-25 14:33:10,0.500005,FALSE
"GME210326C00045000",45,135.45,0,0,0,14,70,2021-03-25 14:46:08,1e-05,TRUE,45,0.02,0,0,0,263,3164,2021-03-25 15:40:32,0.500005,FALSE
"GME210326C00046000",46,127.75,0,0,0,22,34,2021-03-25 13:38:22,1e-05,TRUE,46,0.02,0,0,0,42,239,2021-03-25 14:41:56,0.500005,FALSE
"GME210326C00046500",46.5,122.95,0,0,0,3,5,2021-03-25 09:37:58,1e-05,TRUE,46.5,0.02,0,0,0,31,115,2021-03-25 13:06:31,0.500005,FALSE
"GME210326C00047000",47,127.5,0,0,0,27,30,2021-03-25 14:52:01,1e-05,TRUE,47,0.01,0,0,0,142,335,2021-03-25 14:54:57,0.500005,FALSE
