,,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
CALLS,0,GME210401C00005000,2021-03-31 14:49:30,5.0,189.0,0.0,0.0,0.0,0.0,1,16,1.0000000000000003e-05,True,REGULAR,USD
CALLS,1,GME210401C00010000,2021-03-29 15:04:06,10.0,187.7,0.0,0.0,0.0,0.0,3,17,1.0000000000000003e-05,True,REGULAR,USD
CALLS,2,GME210401C00015000,2021-03-31 17:27:40,15.0,180.9,0.0,0.0,0.0,0.0,2,3,1.0000000000000003e-05,True,REGULAR,USD
CALLS,3,GME210401C00020000,2021-03-31 13:34:14,20.0,176.1,0.0,0.0,0.0,0.0,4,8,1.0000000000000003e-05,True,REGULAR,USD
CALLS,4,GME210401C00025000,2021-03-29 14:45:26,25.0,156.85,0.0,0.0,0.0,0.0,22,24,1.0000000000000003e-05,True,REGULAR,USD
CALLS,5,GME210401C00030000,2021-03-31 19:10:47,30.0,164.1,0.0,0.0,0.0,0.0,8,7,1.0000000000000003e-05,True,REGULAR,USD
CALLS,6,GME210401C00035000,2021-03-31 14:13:43,35.0,154.8,0.0,0.0,0.0,0.0,2,6,1.0000000000000003e-05,True,REGULAR,USD
CALLS,7,GME210401C00040000,2021-03-31 18:16:47,40.0,155.5,0.0,0.0,0.0,0.0,2,39,1.0000000000000003e-05,True,REGULAR,USD
CALLS,8,GME210401C00040500,2021-03-30 19:18:20,40.5,154.15,0.0,0.0,0.0,0.0,7,31,1.0000000000000003e-05,True,REGULAR,USD
CALLS,9,GME210401C00041000,2021-03-31 14:14:14,41.0,147.7,0.0,0.0,0.0,0.0,13,21,1.0000000000000003e-05,True,REGULAR,USD
CALLS,10,GME210401C00041500,2021-03-30 19:18:20,41.5,153.25,0.0,0.0,0.0,0.0,3,7,1.0000000000000003e-05,True,REGULAR,USD
CALLS,11,GME210401C00042000,2021-03-30 19:33:28,42.0,155.45,0.0,0.0,0.0,0.0,1,1,1.0000000000000003e-05,True,REGULAR,USD
